Name,Address,Keyword
Frankfurter Volksbank Rhein-Main eG,"Börsenstraße 7-11, Frankfurt am Main",bank
Wells Fargo Bank,"An der Hauptwache 7, Frankfurt am Main",bank
HypoVereinsbank Frankfurt a. Main Konrad-Adenauer-Straße SB-Standort,"Konrad-Adenauer-Straße 7, Frankfurt am Main",bank
Frankfurter Volksbank Rhein-Main eG,"Hostatostraße 13, Frankfurt am Main",bank
Degussa Bank,"162 Flughafen Frankfurt Tor 3, Flughafen FFM 162/1103, Frankfurt am Main",bank
Degussa Bank,"201,7.Etage (nicht öffentlich), Terminal 1, Frankfurt am Main",bank
Frankfurter Volksbank Rhein-Main eG,"Leipziger Str. 48, Frankfurt am Main",bank
Piraeus Bank,"Wilhelm-Leuschner-Straße 41, Frankfurt am Main",bank
Bethmann Bank,"Mainzer Landstraße 1, Frankfurt am Main",bank
Degussa Bank,"Theodor-Heuss-Allee 74, Frankfurt am Main",bank
Deutsche Bank,"Borsigallee 26, Frankfurt am Main",bank
dwpbank Deutsche WertpapierService Bank AG,"Wildunger Str. 14, Frankfurt am Main",bank
KT Bank AG,"Schillerstraße 19-25, Frankfurt am Main",bank
Deutsche Bank Filiale,"Zeil 57, Frankfurt am Main",bank
Triodos Bank Germany,"Falkstraße 5, Frankfurt am Main",bank
DekaBank Deutsche Girozentrale,"Mainzer Landstraße 16, Frankfurt am Main",bank
Westend Bank AG,"Wendelsweg 64, Frankfurt am Main",bank
Nassau Savings Bank - ATM,"Zeil 127, Frankfurt am Main",bank
Reise Bank,"Hugo-Eckener-Ring, Frankfurt am Main",bank
Belarusbank,"60318 am, Oeder Weg 43, Frankfurt am Main",bank
AA Asset Consult,"Börsenstraße 2-4, Frankfurt am Main",asset
Watermark Asset Management Gmbh,"An der Hauptwache 5, Frankfurt am Main",asset
Silverton Asset Solutions GmbH,"Neue Mainzer Str. 20, Frankfurt am Main",asset
FAM Frankfurt Asset Management AG,"Taunusanlage 1, Frankfurt am Main",asset
MaxAlpha Asset Consultant Ltd.,"Münchener Str. 7, Frankfurt am Main",asset
alpha beta asset management gmbh,"Freiherr-vom-Stein-Straße 24-26, Frankfurt am Main",asset
Aberdeen Asset Management AG Germany,"Bockenheimer Landstraße 25, Frankfurt am Main",asset
Deutsche Real Estate Asset Management GmbH,"Siesmayerstraße 23, Frankfurt am Main",asset
Lazard Asset Management (Deutschland) GmbH,"Neue Mainzer Str. 75, Frankfurt am Main",asset
Lupus alpha Asset Management AG,"Speicherstraße 49-51, Frankfurt am Main",asset
Sinus Asset Management GmbH,"Siesmayerstraße 21, Frankfurt am Main",asset
Park Lane Asset Management GmbH,"Bockenheimer Anlage 15, Frankfurt am Main",asset
Renaissance Asset Management GmbH,"Feuerbachstraße 44, Frankfurt am Main",asset
RM Asset Management GmbH,"Zeilweg 44, Frankfurt am Main",asset
City Asset Management GmbH,"Friedensstraße 9, Frankfurt am Main",asset
Arabesque Asset Management Ltd. (Germany),"Zeppelinallee 15, Frankfurt am Main",asset
La Française Systematic Asset Management GmbH,"Neue Mainzer Str. 80, Frankfurt am Main",asset
Quoniam Asset Management GmbH,"Westhafen Tower, Westhafenpl. 1, Frankfurt am Main",asset
La Française Asset Management GmbH,"Taunusanlage 18, Frankfurt am Main",asset
CIS Asset Management,"Hauptstraße 81, Eschborn",asset
HUK-COBURG Versicherung Sven Ebert in Frankfurt - Bockenheim,"Schloßstraße 84, Frankfurt am Main",versicherung
DEVK Versicherung,"Kaiserstraße 42, Offenbach am Main",versicherung
HUK-COBURG Versicherung Andre Sturmeit in Frankfurt - Kalbach,"Im Kirschenwäldchen 20B, Frankfurt am Main",versicherung
HUK-COBURG Versicherung in Neu-Isenburg,"Bahnhofstraße 150, Neu-Isenburg",versicherung
DEVK Versicherung,"Frankfurter Str. 113, Bad Vilbel",versicherung
Allianz Versicherung Hans Günter Schmitt e.K. Generalvertretung in Frankfurt am Main,"Nassauer Str. 1, Frankfurt am Main",versicherung
DEVK Versicherung: Jana Völker,"Güterpl. 8, Frankfurt am Main",versicherung
HUK-COBURG Versicherung Wolfgang Müser in Eschborn,"Hunsrückstraße 10, Eschborn",versicherung
HUK-COBURG - office Frankfurt,"Lyoner Str. 10, Frankfurt am Main",versicherung
HUK-COBURG Versicherung Regine Staudenmaier in Frankfurt - Nordend-Ost,"Sandweg 37, Frankfurt am Main",versicherung
Versicherung Hanau Maintal,"Spessartstraße 50, Maintal",versicherung
R+V Versicherung Frankfurt am Main - Generalagentur Michael Bossek,"Voltastraße 84, Frankfurt am Main",versicherung
HUK-COBURG Versicherung Gerhard Brillisauer in Frankfurt - Bergen-Enkheim,"Rangenbergstraße 30, Frankfurt am Main",versicherung
HUK-COBURG Versicherung Simone Scherer in Frankfurt - Höchst,"Albanusstraße 18, Frankfurt am Main",versicherung
Allianz Versicherung Carsten Thode Hauptvertretung,"Hügelstraße 2, Frankfurt am Main",versicherung
DEVK Versicherung: Andree Badtke,"Gartenstraße 177, Frankfurt am Main",versicherung
DEVK Versicherung: Heiko Hermann,"Gebäude 156 b, Frankfurt am Main",versicherung
R+V Versicherung,"Unterortstraße 6-8 im Hause Frankfurter Volksbank, Eschborn",versicherung
Mecklenburgische Versicherung Generalvertretung Markus Heine,"Eifelstraße 50, Frankfurt am Main",versicherung
HUK-COBURG Versicherung Rosmarie Stein in Maintal - Bischofsheim,"Sudetenstraße 22, Maintal",versicherung
Easy Insurance GmbH,"Hanauer Landstraße 291, Frankfurt am Main",insurance
ACE Insurance S.A.-N.V. Direktion für Deutschland,"Lurgiallee 10, Frankfurt am Main",insurance
Meiji Life Insurance Co.,"Goethestraße 7, Frankfurt am Main",insurance
Health Insurance Germany,"Kennedyallee 93, Frankfurt am Main",insurance
"Financial Assurance Company Limited, Lebensversicherung, Niederlassung Deutschland","Martin-Behaim-Straße 22, Neu-Isenburg",insurance
Allianz Versicherungsagentur,"Niedwiesenstraße 56, Frankfurt am Main",insurance
Lloyd's Germany,"Taunusanlage 11, Frankfurt am Main",insurance
InsuranceCity Service GmbH,"Rüsterstraße 1, Frankfurt am Main",insurance
Genworth Financial,"Martin-Behaim-Straße 22, Neu-Isenburg",insurance
Neodirect - Insurance Broker Frankfurt,"Mergenthalerallee 15-21, Eschborn",insurance
Clark Germany GMBH,"Wilhelm-Leuschner-Straße 17-19, Frankfurt am Main",insurance
Allianz Versicherung Commerzbank AG Frankfurt-Fürstenhof Agentur,"Gallusanlage 2, Frankfurt am Main",insurance
Allianz Versicherung Rainer Herold Generalvertretung in Frankfurt am Main,"Oppenheimer Str. 20-24, Frankfurt am Main",insurance
International Center for Insurance Regulation (ICIR),"Grüneburgweg 1, Frankfurt am Main",insurance
European Insurance and Occupational Pensions Authority,"Westhafen Tower, Westhafenpl. 1, Frankfurt am Main",insurance
Allianz Versicherung Marius Michael Hauptvertretung in Frankfurt am Main,"Kurhessenstraße 1-3, Frankfurt am Main",insurance
Allianz Versicherung Jens Nasgowitz Generalvertretung in Frankfurt am Main - Nordend West,"Eschenheimer Anlage 19, Frankfurt am Main",insurance
Allianz Versicherung Hubert Sieber Hauptvertretung in Frankfurt am Main - Innenstadt,"Bleichstraße 6, Frankfurt am Main",insurance
Allianz Versicherung Alexander Scherre Hauptvertretung in Frankfurt am Main - Nordend Ost,"Berger Str. 57, Frankfurt am Main",insurance
Allianz Versicherung Hans Günter Schmitt e.K. Generalvertretung in Frankfurt am Main,"Nassauer Str. 1, Frankfurt am Main",insurance
Invest in Visions GmbH,"Freiherr-vom-Stein-Straße 24–26, Frankfurt am Main",invest
"FRANKFURT-INVEST, Michael Schmidt","Frankfurt Westend, Messe, Friedrich-Ebert-Anlage 36, Frankfurt am Main",invest
Inyova Impact Investing,"Taunusanlage 8, Frankfurt am Main",invest
PRISMA Investment GmbH,"Wöhlerstraße 8-10, Frankfurt am Main",invest
pure invest GmbH,"Goethepl. 5-7, Frankfurt am Main",invest
Invest in Trust.,"Franziusstraße 8-14, Frankfurt am Main",invest
DB Investment Services,"Wilhelm-Fay-Straße 31-37, Frankfurt am Main",invest
Multi-Invest Sachwerte GmbH,"Ginnheimer Str. 4, Eschborn",invest
Universal Investment GmbH,"Theodor-Heuss-Allee 70, Frankfurt am Main",invest
First Private Investment Management KAG mbH,"Westhafenpl. 8, Frankfurt am Main",invest
Union Investment Privatfonds GmbH,"Weißfrauenstraße 7, Frankfurt am Main",invest
Union Investment Gesellschaft mbH,"Oeder Weg 111, Frankfurt am Main",invest
CPH Invest GmbH,"De-Saint-Exupéry-Straße 10, Frankfurt am Main",invest
Empira Investment Solutions GmbH,"Bockenheimer Landstraße 39, Frankfurt am Main",invest
AEW Invest GmbH,"Neue Mainzer Str. 66-68, Frankfurt am Main",invest
WH SelfInvest Deutschland,"Niedenau 36, Frankfurt am Main",invest
Simplex Invest GmbH,"An d. Welle 4, Frankfurt am Main",invest
Rock Invest GmbH & Co. KG,"Bethmannstraße 8, Frankfurt am Main",invest
MT Invest GmbH,"Westerbachstraße 47, Frankfurt am Main",invest
Esor investments,"Meisengasse 13-15, Frankfurt am Main",invest
MainFirst Affiliated Fund Managers (Deutschland) GmbH,"Kennedyallee 76, Frankfurt am Main",fund
Active Fund Placement GmbH,"Schäfergasse 52, Frankfurt am Main",fund
Fund-Edv,"Limesstraße 2B, Dietzenbach",fund
Be!Fund Deutschland Förderverein e.V.,"Rothschildallee 31, Frankfurt am Main",fund
Horeal Fund,"Stephanstraße 1, Frankfurt am Main",fund
Internationaler Naturerbe Fonds - Legacy Landscapes Fund,"Friedrich-Ebert-Anlage 36, Frankfurt am Main",fund
eco.business Fund,"Carl-von-Noorden-Platz 5, Frankfurt am Main",fund
Fund After Work,"Solmsstraße 6A, Frankfurt am Main",fund
Gründermaschine,"Schleusenstraße 15-17, Frankfurt am Main",fund
Savills Investment Management Frankfurt,"Rotfeder-Ring 7, Frankfurt am Main",fund
Paarl - Equity Management GmbH,"Liebigstraße 20, Frankfurt am Main",fund
Blue Action Fund,"Nature Trust Alliance GbR, c/o, Friedrich-Ebert-Anlage 36, Frankfurt am Main",fund
Fund Industry Consulting,"Lahnstraße 59, Frankfurt am Main",fund
Elephant & Castle Capital GmbH,"Taunusstraße 6, Frankfurt am Main",fund
Borromin Capital Management GmbH,"Myliusstraße 47, Frankfurt am Main",fund
Frosch & Friends Ventures GmbH,"Poststraße 2-4, Frankfurt am Main",fund
Tungsten Capital Management,"Hochstraße 35, Frankfurt am Main",fund
Axum Vermögenverwaltung GmbH,"Im Trutz Frankfurt 18, Frankfurt am Main",fund
CIMEDO GmbH,"Taunustor 1, Frankfurt am Main",fund
Schumpeter Ventures GmbH,"Bockenheimer Landstraße 22, Frankfurt am Main",fund
Credit Suisse (Deutschland) AG,"Taunustor 1, Frankfurt am Main",credit
Creditplus Bank AG - Filiale Frankfurt,"Bleichstraße 64, Frankfurt am Main",credit
Crédit Agricole CIB,"Brüsseler Str. 1 - 3/Tower ONE (27. & 28. Etage, Frankfurt am Main",credit
Creditreform Frankfurt,"Bleichstraße 59, Frankfurt am Main",credit
e.Credit GmbH,"Eschersheimer Landstraße 325, Frankfurt am Main",credit
Credit Europe Bank NV,"Speicherstraße 57-59, Frankfurt am Main",credit
Standard & Poor´s Credit Market Services Europe Limited (Niederlassung,"Bockenheimer Landstraße 2, Frankfurt am Main",credit
Creditplus Bank AG - Zentrale Offenbach,"Strahlenbergerstraße 112, Offenbach am Main",credit
LifeCredit - Die Kreditvermittler GmbH,"Heidestraße 146B, Frankfurt am Main",credit
Creditreform Offenbach,"Goethering 58, Offenbach am Main",credit
creditshelf Aktiengesellschaft,"Mainzer Landstraße 33A, Frankfurt am Main",credit
ProCredit Bank AG,"Rohmerpl. 33-37, Frankfurt am Main",credit
AKA export credit mbH,"Große Gallusstraße 1-7, Frankfurt am Main",credit
BGS Credit Management,"Kleiststraße 33, Frankfurt am Main",credit
BECM Frankfurt (Banque Européenne du Crédit Mutuel),"Wilhelm-Leuschner-Straße 9-11, Frankfurt am Main",credit
IB-C Insolvenzberatungs-Center,"Ludwigstraße 82, Neu-Isenburg",credit
Der Kredit für Migrantinnen,"Hermann-Steinhäuser-Straße 43, Offenbach am Main",credit
UniCredit Leasing GmbH,"Frankfurter Str. 181a, Neu-Isenburg",credit
Coreal Kreditbank AG,"Grüneburgweg 58-62, Frankfurt am Main",credit
ABN AMRO Lease,"Mainzer Landstraße 1, Frankfurt am Main",credit
Börse Frankfurt,"Börsenpl. 4, Frankfurt am Main",börse
Börse Frankfurt Zertifikate AG,"Neue Börsenstraße 1, Frankfurt am Main",börse
Deutsche Börse,"Mergenthalerallee 61, Eschborn",börse
Leder Börse,Offenbach,börse
Parkhaus Borse,"Meisengasse 4, Frankfurt am Main",börse
Werlondar,"Hahnstraße, Frankfurt am Main",börse
Prior Börse,"Holzhausenstraße 22, Frankfurt am Main",börse
Stock Avenue 81,"Hanauer Landstraße 81, Frankfurt am Main",stock
Snow Wolf Broker,"Platz d. Einheit 2, Frankfurt am Main",stock
RoboMarkets,"Schillerstraße 5, Frankfurt am Main",stock
Hodson's Mark,"Landauer Str. 4, Frankfurt am Main",stock
Schlegel Trading Handelsmakler,"Kurt-Moosdorf-Straße 73, Bad Vilbel",stock
NeLe Trading,"Rödelheimer Landstraße 75-85, Frankfurt am Main",stock
IFCM Commodities GmbH,"FRA, Am Flughafen 12, Frankfurt am Main",stock
ViTrade,"Rotfeder-Ring 7, Frankfurt am Main",stock
BÖRSENBRIEF BULLENBRIEF,"Speicherstr. 37 Westhafen, Frankfurt am Main",stock
WH SelfInvest Deutschland,"Niedenau 36, Frankfurt am Main",stock
Schiller-Fleisch GmbH & Co. KG,"Am Stock 10, Bad Vilbel",stock
Hinkel & Cie. Vermögensverwaltung AG,"Bockenheimer Landstraße 17-19, Frankfurt am Main",stock
